name,address,reviews,dessert,url,image
Dominique Ansel Bakery,"189 Spring St, New York, NY 10012",no reviews,Cookies,https://www.dominiqueansel.com/,images/levain.png
Jacques Torres Icecream,"89 East 42nd Street, Grand Central Terminal",no reviews,Cookies,https://mrchocolate.com/blogs/locations/ice-cream-grand-central,images/cookie1.png
Levain Bakery,340 LAFAYETTE ST.,no reviews,Cookies,https://levainbakery.com/,images/cookie2.png
Maman Bakery,"soho - 239 centre st, nyc
marché maman - 237 centre st, nyc 
tribeca - 211 west broadway, nyc",no reviews,Dining and Dessert,https://www.mamannyc.com/,images/maman.png
